章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT002,Q0010,所得税,一般個人投資家が証券会社を通じて上場株式等を譲渡して20万円の所得を得た場合の所得税額として、正しい物は次のうちどれですか。ただし、当該株式の所有割合は発行済株式総数の3％未満とする。,6000円,10000円,14000円,30000円,40000円,3,14000円,正解は３。#株式等を譲渡した場合は、原則として他の所得と区分して税金を申告する申告分離課税となり、その譲渡益については所得税15%、住民税5％により課税される。#ただし、個人投資家が平成21年１月１日から平成25年12月31日までの間に上場株式等を金融商品取引業者、または登録金融機関への売委託により譲渡した場合など、一定の要件を満たす譲渡に該当する場合は、所得税7％、住民税3％の軽減税率が適用される。
SECT002,Q0020,所得税,平成23年中に譲渡した特定の居住用財産の買換え特例の適用要件について、誤っているものは次のうちどれですか。,譲渡資産は、一定期間以上、譲渡者が居住の用に供したものであること,譲渡資産の所有期間は、譲渡した年の１月１日現在で10年を超えていること,譲渡の相手先は、譲渡者の配偶者などの特別の関係にある者ではないこと,買換資産は、譲渡の年の前年１月１日から譲渡の年の１２月３１日までに取得したもの等であること,譲渡資産の譲渡対価の額は3000万円以下であること,5,譲渡資産の譲渡対価の額は3000万円以下であること,正解は５。#特定居住用財産の買換え(交換)の特例は、平成５年４月１日から平成25年12月31日までの間に所有期間が10年を超える居住用財産を、一定の要件のもとで譲渡した場合において、その譲渡の日の属する年の前年１月１日から、その譲渡の日の属する年の12月31日までの間に、代わりの居住用財産を一定の要件の下で取得して、譲渡年の翌年12月31日までに自己の居住の用に供したとき(または見込みのとき)に適用することができる。
SECT002,Q0030,所得税,所得税の課税対象となる保険金等は、次のうちどれですか。,自家用車の事故による破損に伴い支払われる損害保険金,自己が居住する家屋の火災消失により支払われる損害保険金,保険料負担者に支払われる生命保険契約の解約返戻金,国民健康保険法に基づき支給される保険給付額,厚生年金保険法に基づき支払われる遺族厚生年金,3,保険料負担者に支払われる生命保険契約の解約返戻金,正解は３。#所得税の課税対象となる生命保険契約等にかかる満期保険金・死亡保険金は一時所得として、年金は雑所得として、それぞれの課税の対象とされる。#損害保険契約にもとづき支払われる損害保険金については、居住用家屋の火災損失等により支払われる火災保険金は、資産の損害を起因として支払われたもので非課税とされる。#なお、生命保険金の解約返戻金は非課税対象とはならず、契約者本人が保険料をを支払っている場合には一時所得として、契約者本人以外が保険料を負担していた場合には相続税または贈与税の課税対象とされる。
SECT002,Q0040,所得税,一時所得の金額の計算等について、誤っているものは次のうちどれですか。,保険料負担者に支払われる生命保険契約の満期保険金は一時所得の挿入金額に算入される,一時所得の金額の計算上控除される特別控除額は最高50万円である,一時所得の金額は原則としてその年の他の所得と総合して課税される,総所得金額に算入される一時所得の金額はその４分の１相当額である,一時所得の損失の金額は生じなかったものとされる,4,総所得金額に算入される一時所得の金額はその４分の１相当額である,正解は４。#一時所得の金額はその年中の一時所得にかかる総収入金額から、その収入を得るために支出した金額の合計額を控除し、その残額から特別控除額を控除して計算する。式で示すと#一時所得の金額＝総収入金額ー当該収入を得るために支出した金額ー特別控除額(50万円)#特別控除額は原則として50万円であるが、その収入金額を差し引いた残額が50万円未満の場合には、その残額とされる。#なお、総所得金額へ算入する際には、一時所得の金額の２分の１に相当する金額を他の所得と合算する。また、一時所得の損失の金額は、他の所得と損益通算の対象とされない。
SECT002,Q0050,所得税,物品販売業にかかる事業所得の損失の金額と、原則として損益通算できないものは、次のうちどれですか。,配当所得の金額,不動産所得の金額,株式の譲渡所得の金額,一時所得の金額,雑所得の金額,3,株式の譲渡所得の金額,正解は３。＃損益通算とは課税標準を計算する場合において、不動産所得の金額、事業所得の金額、山林所得の金額または譲渡所得の金額の計算上生じた損失の金額があるときに、これを他の各種所得の金額から控除することをいう。#なお、株式の譲渡所得は申告分離課税されるため、総合課税される所得間の損益通算の対象には含まれず、他の株式の譲渡損失との内部通算もしくは一定の上場株式等の譲渡損失が生じた場合につき行うことが出来る申告分離課税を選択した上場株式等の配当所得との損益通算以外は認められていない。
SECT002,Q0060,所得税,医療費控除の対象となるものは、次のうちどれですか。,健康増信用のビタミン剤の購入費用,医師による診療費用,妻の美容整形の費用,医師に対する贈答品の購入費用,疫病予防のためのマスクの購入費用,2,医師による診療費用,正解は２。#医療費控除の対象となる医療費は次に掲げるものの対価のうち、その症状に応じて一般的に支出される水準を著しく超えない部分の金額である。#・医師または歯科医師による診療または治療#治療また療養に必要な医薬品の購入#・病院、診療所または助産所へ収容されるための人的な役務の提供の対価#・あん摩マッサージ指圧師、はり師、柔道整復師などにより施術#・保健師、看護師、または准看護師による療養上の世話#・助産師による分娩の介助#・介護福祉士が診療の補助として行う費用の自己負担分#なお、疾病対策マスク等のような疾病の予防、または健康増進のために供されるものの購入対価、食事療法の食費等は、医療費控除の対象とされない。
SECT002,Q0070,所得税,納税者本人に生じた各損失について、雑損控除の適用対象とされるものは、次のうちどれですか。,別荘の老朽化による損壊のために生じた損失額,当難易より生じた棚卸資産の損失額,振り込め詐欺により生じた資産の損失額,保証債務の履行により生じた資産の損失額,災害により生じた日常生活に必要な家財の損失額,5,災害により生じた日常生活に必要な家財の損失額,正解は５。#雑損控除とは災害、盗難、横領により、納税者または納税者と生計を一にする配偶者その他親族で、その年分の総所得金額等が基礎控除額(38万円)以下の人が所有する資産について損失を受けた場合に、一定の金額を納税者の総所得金額等から控除する制度。
SECT002,Q0080,所得税,青色申告者の得点に該当しないものは、次のうちどれですか。,青色事業専従者給与の必要経費算入,棚卸資産の評価による低価法の選択,純損失の繰戻還付,青色申告特別控除,配偶者特別控除,5,配偶者特別控除,正解は５。#青色申告の特典のうち、所得計算上の特典の主なものを挙げると次のものがある。#・青色事業専従者給与の必要経費算入#・家事関連費の必要経費算入#現金主義に寄る所得計算の特例#貸倒引当金、返品調整引当金、退職給与引当金の繰入額の必要経費算入#・棚卸資産の低価法の採用#耐用年数の短縮
SECT002,Q0090,所得税,給与所得者につき、給与以外に総合課税される他の所得があったとしても確定申告書の提出を要しない場合は、次のうちどれですか。ただし、それぞれにおいて他の要件はすべて満たしているものとする。,事業所得の金額が100万円の場合,不動産所得の金額が60万円の場合,譲渡所得の金額が50万円の場合,配当所得の金額30万円の場合,雑所得の金額が10万円の場合,5,雑所得の金額が10万円の場合,正解は５。#給与所得者について、次の場合には年末に確定申告が必要となる。#・その年中に支払を受ける給与の収入金額が2000万円を超えるもの。#１カ所からの給与等の支払を受けている者で、給与所得及び退職所得以外の所得金額の合計が20万円を超える者#・２カ所以上から給与等の支払を受けている者で年末調整を受けていない従たる給与等の金額と給与所得及び退職所得以外の所得金額の合計金額が20万円を超える者#同族会社の役員等で、その同族会社からの貸付金の利子または資産の賃貸料を受け取っている者
SECT002,Q0100,相続税・贈与税,相続税の課税対象となるものは、次のうちどれですか。,祭具等で日常の礼拝に要するもの,心身障害者共済制度に基づく給付金の受給権,公共法人に勤務する者が相続した居住用財産,相続人が受取った死亡退職金のうち一定額までの金額,相続税の申告書の提出期限までに国に寄附した財産,3,公共法人に勤務する者が相続した居住用財産,正解は３。#相続税は原則として相続・遺贈または死因贈与により取得した全ての財産が課税対象となる。
