章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT003,Q0730,相続税・贈与税１,次の記述のうち、正しくないものを選びなさい。,祭具等で日常の礼拝に要するものは相続税の課税対象である,心身障害者共済制度に基づく給付金の受給権は相続税の課税対象にならない,公共法人に勤務する者が相続した居住用財産は相続税の課税対象である,相続人が受取った死亡退職金のうち一定額までの金額は相続税の課税対象にならない,相続税の申告書の提出期限までに国に寄附した財産は相続税の課税対象にならない,1,祭具等で日常の礼拝に要するものは相続税の課税対象である,相続税は原則として相続・遺贈または死因増よにより取得した全ての財産が課税対象となる。
SECT003,Q0740,相続税・贈与税１,次の記述のうち、正しくないものを選びなさい。,心身障害者共済制度に基づく給付金の受給権は相続税の課税対象である,祭具等で日常の礼拝に要するものは相続税の課税対象にならない,公共法人に勤務する者が相続した居住用財産は相続税の課税対象である,相続人が受取った死亡退職金のうち一定額までの金額は相続税の課税対象にならない,相続税の申告書の提出期限までに国に寄附した財産は相続税の課税対象にならない,1,心身障害者共済制度に基づく給付金の受給権は相続税の課税対象である,相続税は原則として相続・遺贈または死因増よにより取得した全ての財産が課税対象となる。
SECT003,Q0750,相続税・贈与税１,次の記述のうち、正しくないものを選びなさい。,公共法人に勤務する者が相続した居住用財産は相続税の課税対象にならない,心身障害者共済制度に基づく給付金の受給権は相続税の課税対象にならない,祭具等で日常の礼拝に要するものは相続税の課税対象にならない,相続人が受取った死亡退職金のうち一定額までの金額は相続税の課税対象にならない,相続税の申告書の提出期限までに国に寄附した財産は相続税の課税対象にならない,1,公共法人に勤務する者が相続した居住用財産は相続税の課税対象にならない,相続税は原則として相続・遺贈または死因増よにより取得した全ての財産が課税対象となる。
SECT003,Q0760,相続税・贈与税１,次の記述のうち、正しくないものを選びなさい。,相続人が受取った死亡退職金のうち一定額までの金額は相続税の課税対象である,心身障害者共済制度に基づく給付金の受給権は相続税の課税対象にならない,公共法人に勤務する者が相続した居住用財産は相続税の課税対象である,祭具等で日常の礼拝に要するものは相続税の課税対象にならない,相続税の申告書の提出期限までに国に寄附した財産は相続税の課税対象にならない,1,相続人が受取った死亡退職金のうち一定額までの金額は相続税の課税対象である,相続税は原則として相続・遺贈または死因増よにより取得した全ての財産が課税対象となる。
SECT003,Q0770,相続税・贈与税１,次の記述のうち、正しくないものを選びなさい。,相続税の申告書の提出期限までに国に寄附した財産は相続税の課税対象である,心身障害者共済制度に基づく給付金の受給権は相続税の課税対象にならない,公共法人に勤務する者が相続した居住用財産は相続税の課税対象である,相続人が受取った死亡退職金のうち一定額までの金額は相続税の課税対象にならない,祭具等で日常の礼拝に要するものは相続税の課税対象にならない,1,相続税の申告書の提出期限までに国に寄附した財産は相続税の課税対象である,相続税は原則として相続・遺贈または死因増よにより取得した全ての財産が課税対象となる。
SECT003,Q0780,相続税・贈与税１,次のうち正しくないものを選びなさい。,香典返戻費用は相続税の課税価格を計算する際に控除される,本葬式にかかる費用は相続税の課税価格を計算する際に控除される,火葬費用は相続税の課税価格を計算する際に控除される,通夜にかかる費用は相続税の課税価格を計算する際に控除される,遺体を運搬するための費用は相続税の課税価格を計算する際に控除される,1,香典返戻費用は相続税の課税価格を計算する際に控除される,葬儀に関する費用であっても、香典返戻費用や墓碑・墓地の買入費・借入料、法会に要する費用、医学上または裁判上の特別の処置に要した費用等は葬式費用とされず、控除されない。
SECT003,Q0790,相続税・贈与税１,次のうち正しくないものを選びなさい。,本葬式にかかる費用は相続税の課税価格を計算する際に控除されない,香典返戻費用は相続税の課税価格を計算する際に控除されない,火葬費用は相続税の課税価格を計算する際に控除される,通夜にかかる費用は相続税の課税価格を計算する際に控除される,遺体を運搬するための費用は相続税の課税価格を計算する際に控除される,1,本葬式にかかる費用は相続税の課税価格を計算する際に控除されない,税務処理上、課税財産の算定にあたってはお葬式にかかった費用は差し引くことができる。#この税務上認められる葬式費用とは、お通夜の費用、密葬・本葬・火葬の費用、納骨の費用などが含まれ香典返戻費用は含まれていない。#これは、正式な理由は一義的にははっきりとはしないが、故人の死亡と直接の関連性があるとは認められないということが理由となっていると思われる。香典返戻費用は個々の喪主の判断によって異なってくる事があり、葬式自体のように死亡から必ずかかる費用とは言えないということである。#この香典返戻費用以外にも葬式費用として認められないものとしては、お墓の買入費・墓地の借入料・永代供養料・法会（初七日・四十九日など）の費用・医学上又は裁判上の特別の処置に要した費用（司法解剖や行政検視・司法検視などにかかった費用）などがある。
SECT003,Q0800,相続税・贈与税１,次のうち正しくないものを選びなさい。,火葬費用は相続税の課税価格を計算する際に控除されない,本葬式にかかる費用は相続税の課税価格を計算する際に控除される,香典返戻費用は相続税の課税価格を計算する際に控除されない,通夜にかかる費用は相続税の課税価格を計算する際に控除される,遺体を運搬するための費用は相続税の課税価格を計算する際に控除される,1,火葬費用は相続税の課税価格を計算する際に控除されない,税務処理上、課税財産の算定にあたってはお葬式にかかった費用は差し引くことができる。#この税務上認められる葬式費用とは、お通夜の費用、密葬・本葬・火葬の費用、納骨の費用などが含まれ香典返戻費用は含まれていない。#これは、正式な理由は一義的にははっきりとはしないが、故人の死亡と直接の関連性があるとは認められないということが理由となっていると思われる。香典返戻費用は個々の喪主の判断によって異なってくる事があり、葬式自体のように死亡から必ずかかる費用とは言えないということである。#この香典返戻費用以外にも葬式費用として認められないものとしては、お墓の買入費・墓地の借入料・永代供養料・法会（初七日・四十九日など）の費用・医学上又は裁判上の特別の処置に要した費用（司法解剖や行政検視・司法検視などにかかった費用）などがある。
SECT003,Q0810,相続税・贈与税１,次のうち正しくないものを選びなさい。,通夜にかかる費用は相続税の課税価格を計算する際に控除されない,本葬式にかかる費用は相続税の課税価格を計算する際に控除される,火葬費用は相続税の課税価格を計算する際に控除される,香典返戻費用は相続税の課税価格を計算する際に控除されない,遺体を運搬するための費用は相続税の課税価格を計算する際に控除される,1,通夜にかかる費用は相続税の課税価格を計算する際に控除されない,税務処理上、課税財産の算定にあたってはお葬式にかかった費用は差し引くことができる。#この税務上認められる葬式費用とは、お通夜の費用、密葬・本葬・火葬の費用、納骨の費用などが含まれ香典返戻費用は含まれていない。#これは、正式な理由は一義的にははっきりとはしないが、故人の死亡と直接の関連性があるとは認められないということが理由となっていると思われる。香典返戻費用は個々の喪主の判断によって異なってくる事があり、葬式自体のように死亡から必ずかかる費用とは言えないということである。#この香典返戻費用以外にも葬式費用として認められないものとしては、お墓の買入費・墓地の借入料・永代供養料・法会（初七日・四十九日など）の費用・医学上又は裁判上の特別の処置に要した費用（司法解剖や行政検視・司法検視などにかかった費用）などがある。
SECT003,Q0820,相続税・贈与税１,次のうち正しくないものを選びなさい。,遺体を運搬するための費用は相続税の課税価格を計算する際に控除されない,本葬式にかかる費用は相続税の課税価格を計算する際に控除される,火葬費用は相続税の課税価格を計算する際に控除される,通夜にかかる費用は相続税の課税価格を計算する際に控除される,香典返戻費用は相続税の課税価格を計算する際に控除されない,1,遺体を運搬するための費用は相続税の課税価格を計算する際に控除されない,税務処理上、課税財産の算定にあたってはお葬式にかかった費用は差し引くことができる。#この税務上認められる葬式費用とは、お通夜の費用、密葬・本葬・火葬の費用、納骨の費用などが含まれ香典返戻費用は含まれていない。#これは、正式な理由は一義的にははっきりとはしないが、故人の死亡と直接の関連性があるとは認められないということが理由となっていると思われる。香典返戻費用は個々の喪主の判断によって異なってくる事があり、葬式自体のように死亡から必ずかかる費用とは言えないということである。#この香典返戻費用以外にも葬式費用として認められないものとしては、お墓の買入費・墓地の借入料・永代供養料・法会（初七日・四十九日など）の費用・医学上又は裁判上の特別の処置に要した費用（司法解剖や行政検視・司法検視などにかかった費用）などがある。
SECT003,Q0830,相続税・贈与税１,次の相続税に関する記述のうち、正しいものを選びなさい。,相続人と事実上内縁関係にある者に相続税額の軽減特例は適用されない,婚姻の届出から5日が経過している場合に相続税の軽減特例が適用される,配偶者が遺贈により財産を取得した場合には相続税の軽減特例が適用されない,配偶者の相続税軽減特例が適用されれば3億5000万円までなら税金がかからない,相続税軽減特例の適用を受けた結果、納税額がゼロになった場合には申告書の提出を要さない,1,相続人と事実上内縁関係にある者に相続税額の軽減特例は適用されない,一般に遺贈や相続によって被相続人の配偶者が財産を取得した場合、一定の金額について相続税額が軽減される。#ただし、課税価格の計算をごまかしたり隠したものがある場合(隠蔽)、不適切な想定価格を元に計算した場合(仮想)、適用されなくなる。また未分割の財産についても適用されない。#また、納税額の有無に関わらず、この適用を受けるためには申告書の提出が必要。
SECT003,Q0840,相続税・贈与税１,次の相続税に関する記述のうち、正しいものを選びなさい。,婚姻の届出から20年以上経過している場合に相続税の軽減特例が適用される,相続人と事実上内縁関係にある者にも相続税額の軽減特例は適用される,配偶者が遺贈により財産を取得した場合には相続税の軽減特例が適用されない,配偶者の相続税軽減特例が適用されれば3億5000万円までなら税金がかからない,相続税軽減特例の適用を受けた結果、納税額がゼロになった場合には申告書の提出を要さない,1,婚姻の届出から20年以上経過している場合に相続税の軽減特例が適用される,一般に遺贈や相続によって被相続人の配偶者が財産を取得した場合、一定の金額について相続税額が軽減される。#ただし、課税価格の計算をごまかしたり隠したものがある場合(隠蔽)、不適切な想定価格を元に計算した場合(仮想)、適用されなくなる。また未分割の財産についても適用されない。#また、納税額の有無に関わらず、この適用を受けるためには申告書の提出が必要。
SECT003,Q0850,相続税・贈与税１,次の相続税に関する記述のうち、正しいものを選びなさい。,配偶者が遺贈により財産を取得した場合には相続税の軽減特例が適用される,婚姻の届出から5日が経過している場合に相続税の軽減特例が適用される,相続人と事実上内縁関係にある者にも相続税額の軽減特例は適用される,配偶者の相続税軽減特例が適用されれば3億5000万円までなら税金がかからない,相続税軽減特例の適用を受けた結果、納税額がゼロになった場合には申告書の提出を要さない,1,配偶者が遺贈により財産を取得した場合には相続税の軽減特例が適用される,一般に遺贈や相続によって被相続人の配偶者が財産を取得した場合、一定の金額について相続税額が軽減される。#ただし、課税価格の計算をごまかしたり隠したものがある場合(隠蔽)、不適切な想定価格を元に計算した場合(仮想)、適用されなくなる。また未分割の財産についても適用されない。#また、納税額の有無に関わらず、この適用を受けるためには申告書の提出が必要。
SECT003,Q0860,相続税・贈与税１,次の相続税に関する記述のうち、正しいものを選びなさい。,配偶者の相続税軽減特例が適用されれば1億6000万円までなら税金がかからない,婚姻の届出から5日が経過している場合に相続税の軽減特例が適用される,配偶者が遺贈により財産を取得した場合には相続税の軽減特例が適用されない,相続人と事実上内縁関係にある者にも相続税額の軽減特例は適用される,相続税軽減特例の適用を受けた結果、納税額がゼロになった場合には申告書の提出を要さない,1,配偶者の相続税軽減特例が適用されれば1億6000万円までなら税金がかからない,一般に遺贈や相続によって被相続人の配偶者が財産を取得した場合、一定の金額について相続税額が軽減される。#ただし、課税価格の計算をごまかしたり隠したものがある場合(隠蔽)、不適切な想定価格を元に計算した場合(仮想)、適用されなくなる。また未分割の財産についても適用されない。#また、納税額の有無に関わらず、この適用を受けるためには申告書の提出が必要。
SECT003,Q0870,相続税・贈与税１,次の相続税に関する記述のうち、正しいものを選びなさい。,相続税軽減特例の適用を受けた結果、納税額がゼロになった場合でも申告書の提出を要する,婚姻の届出から5日が経過している場合に相続税の軽減特例が適用される,配偶者が遺贈により財産を取得した場合には相続税の軽減特例が適用されない,配偶者の相続税軽減特例が適用されれば3億5000万円までなら税金がかからない,相続人と事実上内縁関係にある者にも相続税額の軽減特例は適用される,1,相続税軽減特例の適用を受けた結果、納税額がゼロになった場合でも申告書の提出を要する,一般に遺贈や相続によって被相続人の配偶者が財産を取得した場合、一定の金額について相続税額が軽減される。#ただし、課税価格の計算をごまかしたり隠したものがある場合(隠蔽)、不適切な想定価格を元に計算した場合(仮想)、適用されなくなる。また未分割の財産についても適用されない。#また、納税額の有無に関わらず、この適用を受けるためには申告書の提出が必要。
[EOF]
