章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,類似問題回避番号
SECT001,Q0010,所得税１,金融商品によって得られた所得として正しくない記述を選びなさい。,利子所得に分類されることはない,配当所得に分類されることがある,一時所得に分類されることがある。,雑所得に分類されることがある。,中間所得は配当所得に分類される,1,利子所得に分類されることはない,中間配当の他、みなし配当も配当所得に含まれる。配当所得の他、雑所得、利子所得、一時所得も金融商品から派生した収益によってえられた所得として分類される。,1
SECT001,Q0020,所得税１,金融商品によって得られた所得として正しくない記述を選びなさい。,配当所得に分類されることはない。,利子所得に分類されることがある,一時所得に分類されることがある。,雑所得に分類されることがある。,中間所得は配当所得に分類される,1,配当所得に分類されることはない。,中間配当の他、みなし配当も配当所得に含まれる。配当所得の他、雑所得、利子所得、一時所得も金融商品から派生した収益によってえられた所得として分類される。,1
SECT001,Q0030,所得税１,金融商品によって得られた所得として正しくない記述を選びなさい。,一時所得に分類されることはない。,利子所得に分類されることがある,配当所得に分類されることがある,雑所得に分類されることがある。,中間所得は配当所得に分類される,1,一時所得に分類されることはない。,中間配当の他、みなし配当も配当所得に含まれる。配当所得の他、雑所得、利子所得、一時所得も金融商品から派生した収益によってえられた所得として分類される。,1
SECT001,Q0040,所得税１,金融商品によって得られた所得として正しくない記述を選びなさい。,雑所得に分類されることはない,利子所得に分類されることがある,配当所得に分類されることがある,一時所得に分類されることがある,中間所得は配当所得に分類される,1,雑所得に分類されることはない,中間配当の他、みなし配当も配当所得に含まれる。配当所得の他、雑所得、利子所得、一時所得も金融商品から派生した収益によってえられた所得として分類される。,1
SECT001,Q0050,所得税１,金融商品によって得られた所得として正しくない記述を選びなさい。,中間配当は配当所得に分類されることはない。,利子所得に分類されることがある,配当所得に分類されることがある,一時所得に分類されることがある。,雑所得に分類されることがある。,1,中間配当は配当所得に分類されることはない。,中間配当の他、みなし配当も配当所得に含まれる。配当所得の他、雑所得、利子所得、一時所得も金融商品から派生した収益によってえられた所得として分類される。,1
SECT001,Q0060,所得税１,利子所得でないものを選びなさい。,株式投資信託の収益の分配,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,株式投資信託の収益の分配,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0070,所得税１,利子所得でないものを選びなさい。,外貨建預貯金の為替差益,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,外貨建預貯金の為替差益,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0080,所得税１,利子所得でないものを選びなさい。,個人間の貸付にかかる利息,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,個人間の貸付にかかる利息,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0090,所得税１,利子所得でないものを選びなさい。,株式投資信託の収益の分配,公社債利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,株式投資信託の収益の分配,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0100,所得税１,利子所得でないものを選びなさい。,外貨建預貯金の為替差益,公社債利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,外貨建預貯金の為替差益,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
