章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT006,Q1560,その他の税金,次の中から正しい記述を選びなさい。,土地の譲渡については消費税が課税されない,土地の貸与については消費税が課税される,原則的に株式等有価証券の譲渡については消費税が課税される,ゴルフ会員権の譲渡については消費税が課税されない,利子を対価とする金銭等の貸付については消費税が課税される,1,土地の譲渡については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1570,その他の税金,次の中から正しい記述を選びなさい。,土地の貸与については消費税が課税されない,土地の譲渡については消費税が課税される,原則的に株式等有価証券の譲渡については消費税が課税される,ゴルフ会員権の譲渡については消費税が課税されない,利子を対価とする金銭等の貸付については消費税が課税される,1,土地の貸与については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1580,その他の税金,次の中から正しい記述を選びなさい。,原則的に株式等有価証券の譲渡については消費税が課税されない,土地の貸与については消費税が課税される,土地の譲渡については消費税が課税される,ゴルフ会員権の譲渡については消費税が課税されない,利子を対価とする金銭等の貸付については消費税が課税される,1,原則的に株式等有価証券の譲渡については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1590,その他の税金,次の中から正しい記述を選びなさい。,ゴルフ会員権の譲渡については消費税が課税される,土地の貸与については消費税が課税される,原則的に株式等有価証券の譲渡については消費税が課税される,土地の譲渡については消費税が課税される,利子を対価とする金銭等の貸付については消費税が課税される,1,ゴルフ会員権の譲渡については消費税が課税される,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1600,その他の税金,次の中から正しい記述を選びなさい。,利子を対価とする金銭等の貸付については消費税が課税されない,土地の貸与については消費税が課税される,原則的に株式等有価証券の譲渡については消費税が課税される,ゴルフ会員権の譲渡については消費税が課税されない,土地の譲渡については消費税が課税される,1,利子を対価とする金銭等の貸付については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1610,その他の税金,次の中から正しい記述を選びなさい。,切手の譲渡については消費税が課税されない,印紙の譲渡については消費税が課税される,商品券の譲渡については消費税が課税される,プリペイドカードの譲渡については消費税が課税される,利子を対価とする金銭等の貸付については消費税が課税される,1,切手の譲渡については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1620,その他の税金,次の中から正しい記述を選びなさい。,印紙の譲渡については消費税が課税されない,切手の譲渡については消費税が課税される,商品券の譲渡については消費税が課税される,プリペイドカードの譲渡については消費税が課税される,利子を対価とする金銭等の貸付については消費税が課税される,1,印紙の譲渡については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1630,その他の税金,次の中から正しい記述を選びなさい。,商品券の譲渡については消費税が課税されない,印紙の譲渡については消費税が課税される,切手の譲渡については消費税が課税される,プリペイドカードの譲渡については消費税が課税される,利子を対価とする金銭等の貸付については消費税が課税される,1,商品券の譲渡については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1640,その他の税金,次の中から正しい記述を選びなさい。,プリペイドカードの譲渡については消費税が課税されない,印紙の譲渡については消費税が課税される,商品券の譲渡については消費税が課税される,切手の譲渡については消費税が課税される,利子を対価とする金銭等の貸付については消費税が課税される,1,プリペイドカードの譲渡については消費税が課税されない,消費税は課税対象とすることになじまないものや社会政策的な配慮などから、次のような取引については非課税とされている。#・土地の譲渡、貸付#・株式等有価証券の譲渡(ゴルフ会員権の譲渡を除く)#利子を対価とする金銭等の貸付#切手、印紙、商品券、プリペイドカードなどの譲渡
SECT006,Q1650,その他の税金,法人の消費税に関する記述のうち、正しいものを選びなさい。,国内で役務を提供し対価を得る事業を行うものは納税義務者に含まれる,消費税納税の基準期間は前の事業年度である,基準期間の課税売上高が2000万円以下の事業者は一定の要件の下、消費税の納付が免除される,基準期間の課税売上高が3000万円以下の事業者は一定の要件の下、簡易課税制度を選択することができる,全ての法人については、基準期間がない事業年度における課税資産の譲渡等について、納税義務は免除されない。,1,国内で役務を提供し対価を得る事業を行うものは納税義務者に含まれる,消費税ではその課税期間の基準期間における課税売上高が1000万円以下の事業者は一定の要件のもと納税義務が免除される。基準期間とは法人については、その事業年度の前々事業年度をいう。#資本金または出資金の金額が1000万円以上の法人については、基準期間が無い場合でも、基準期間がない事業年度における課税資産の譲渡等について、納税義務は免除されない。#また基準期間における課税売上高が5000万円以下の事業者は、その課税期間について簡易課税制度の適用を受けることができる。
